he;per:siblings;Renly
her;per:parents;Rhaegar Aegon
Aegon Targaryen;per:parents;Rhaegar Aegon
Rhaegar Aegon;per:parents;Aegon Targaryen
Daenerys Targaryen;per:siblings;Xaro
Xaro;per:siblings;Daenerys Targaryen
Robb;per:siblings;his
Robb;per:siblings;Robb
Syrio Forel;per:children;Arya
Ser Loras;per:siblings;Ser Garlan Tyrell
Robert;per:parents;Starks
Winterfell;per:parents;Robert
Robert;per:parents;Robert
Robert;per:parents;Winterfell
Winterfell;per:parents;Starks
Starks;per:parents;Winterfell
Starks;per:parents;Robert
Willum;per:children;Josua
Mother;per:parents;Joffrey
Joffrey;per:parents;Mother
Theon;per:children;Theon
Theon;per:parents;Theon
Tyrion;per:siblings;his
his;per:siblings;Tyrion
her;per:siblings;her
his;per:siblings;Rattleshirt
his;per:siblings;his
Rattleshirt;per:siblings;his
his;per:siblings;his
his;per:siblings;his
his;per:siblings;his
his;per:siblings;his
his;per:siblings;his
his;per:siblings;his
his;per:siblings;his
Rickard;per:parents;Edwyle
his;per:parents;Artos Stark
she;per:parents;Rodwell
Willam;per:children;Rickard
his;per:parents;Beron
she;per:parents;Beron
she;per:parents;Willam
Jonnel;per:parents;Rodwell
his;per:parents;Rickard
Lyanna;per:parents;Jonnel
Willam;per:parents;Artos Stark
Rickard;per:parents;Jonnel
Beron;per:parents;Willam
his;per:parents;Donnor
his;per:siblings;Beron
Barth;per:parents;Rodwell
Jonnel;per:children;Rickard
Rickard;per:parents;Willam
Donnor;per:parents;his
Donnor;per:parents;Willam
Barth;per:parents;Jonnel
his;per:siblings;Jonnel
Rodwell;per:children;Rickard
Willam;per:parents;his
Donnor;per:parents;Beron
Lyanna;per:parents;Beron
Edwyle;per:parents;Willam
Donnor;per:parents;Artos Stark
Beron;per:parents;Jonnel
Barth;per:parents;Artos Stark
Artos Stark;per:children;Rickard
Lyanna;per:parents;Rodwell
Rickard;per:parents;Donnor
Rickard;per:parents;Cregan
Donnor;per:parents;Jonnel
Lyanna;per:parents;Willam
his;per:siblings;Barth
his;per:parents;Willam
Beron;per:parents;Artos Stark
Beron;per:parents;Rodwell
she;per:parents;Donnor
Willam;per:parents;Donnor
Beron;per:children;Rickard
his;per:siblings;Donnor
Rickard;per:parents;Barth
Lyanna;per:parents;Donnor
his;per:siblings;Artos Stark
Rickard;per:parents;Rodwell
his;per:parents;Jonnel
Lyanna;per:parents;Artos Stark
Edwyle;per:parents;Artos Stark
Barth;per:parents;Cregan
Donnor;per:parents;Rodwell
Artos Stark;per:parents;Willam
his;per:parents;Rodwell
Cregan;per:children;Rickard
Barth;per:parents;Rickard
Rickard;per:parents;Artos Stark
his;per:siblings;Rodwell
his;per:siblings;Cregan
Jonnel;per:parents;Beron
she;per:parents;Artos Stark
Beron;per:parents;Donnor
Rickard;per:parents;Beron
Rickard;per:parents;his
his;per:children;Rickard
she;per:parents;Jonnel
Artos Stark;per:parents;Donnor
Donnor;per:children;Rickard
Artos Stark;per:siblings;his
Edwyle;per:parents;Rickard
Jaime;per:siblings;Tyrion
Tyrion;per:siblings;Jaime
Edmure;per:siblings;Desmond Grell
Desmond Grell;per:siblings;Edmure
Her;per:siblings;Catelyn
Catelyn;per:siblings;Her
Brienne;per:parents;Brienne
Brienne;per:parents;she
her;per:children;her
her;per:parents;her
Catelyn;per:parents;Lysa
Hoster;per:parents;Lysa
Edmure;per:siblings;Edmure
her;per:spouse;Hoster
She;per:siblings;Hoster
her;per:siblings;Hoster
Hoster;per:spouse;She
Robert;per:siblings;her
Robert;per:siblings;Hoster
her;per:siblings;She
Hoster;per:spouse;Hoster
her;per:siblings;Robert
her;per:siblings;her
Robert;per:siblings;She
Hoster;per:siblings;her
Hoster;per:siblings;She
She;per:spouse;Hoster
She;per:siblings;Robert
Hoster;per:siblings;Robert
Lysa;per:spouse;Lysa
Lysa;per:children;Lysa
Lysa;per:siblings;Catelyn
Jon Jon;per:spouse;Lysa
Lysa;per:spouse;Jon Jon
Riverrun;per:siblings;Robb
Robb;per:siblings;Riverrun
Robb;per:siblings;Robb
Robb;per:siblings;Robb
Robb;per:siblings;Robb
Lys;per:siblings;Lys
Mother;per:parents;Mother
Ser Osfryd;per:siblings;Osney
Tyrell;per:spouse;Lady Alerie
Sansa;per:spouse;Lady Alerie
Lady Graceford;per:children;Lady Bulwer
Lady Bulwer;per:parents;Lady Graceford
Luthor;per:spouse;Luthor
Luthor;per:spouse;Luthor
Luthor;per:spouse;Luthor
Luthor;per:spouse;Sansa
Sansa;per:spouse;Luthor
Margaery;per:spouse;Margaery
his;per:siblings;Jon
Jon;per:siblings;his
his;per:siblings;his
his;per:siblings;Jon sung
Dornishman;per:siblings;Jon
Jon sung;per:siblings;his
his;per:spouse;Jon
his;per:siblings;Dornishman
Jon;per:spouse;Jon
Dornishman;per:siblings;Jon sung
Jon;per:siblings;Dornishman
Jon sung;per:spouse;Jon
Jon;per:siblings;Jon
Dornishman;per:siblings;his
Dornishman;per:spouse;Jon
Jon sung;per:siblings;Jon
his;per:siblings;Jon
Jon;per:siblings;Jon sung
Jon;per:siblings;his
Jon sung;per:siblings;Dornishman
Jon;per:spouse;Jon sung
Prince Tommen;per:siblings;Robb
Arya;per:siblings;Robb
Prince Tommen;per:siblings;Arya
Rickon;per:siblings;Robb
Robb;per:siblings;Myrcella
Robb;per:siblings;Rickon
Joffrey;per:siblings;Robb
Robb;per:siblings;Joffrey
Rickon;per:siblings;Arya
Myrcella;per:siblings;Prince Tommen
Prince Tommen;per:siblings;Myrcella
Rickon;per:siblings;Myrcella
Robb;per:siblings;Prince Tommen
Myrcella;per:siblings;Arya
Myrcella;per:siblings;Robb
Myrcella;per:siblings;Rickon
Arya;per:siblings;Prince Tommen
Joffrey;per:siblings;Arya
Rickon;per:siblings;Joffrey
Joffrey;per:siblings;Rickon
Arya;per:siblings;Rickon
Arya;per:siblings;Myrcella
Robb;per:siblings;Arya
Rickon;per:siblings;Prince Tommen
Joffrey;per:siblings;Prince Tommen
Prince Tommen;per:siblings;Rickon
Sansa;per:siblings;Sansa
Myrcella;per:siblings;Joffrey
Tommen;per:siblings;Arya
Arya;per:siblings;Arya
Robb;per:siblings;Joffrey
Rickon;per:siblings;Arya
Arya;per:siblings;Joffrey
Rickon;per:siblings;Myrcella
Sansa;per:siblings;Prince Joffrey
Joffrey;per:siblings;Myrcella
Myrcella;per:siblings;Robb
Tommen;per:siblings;Tommen
Myrcella;per:siblings;Tommen
Sansa;per:siblings;Arya
Myrcella;per:siblings;Rickon
Tommen;per:siblings;Rickon
Joffrey;per:siblings;Arya
Joffrey;per:siblings;Rickon
Arya;per:siblings;Tommen
Joffrey;per:siblings;Tommen
Arya;per:siblings;Rickon
Prince Joffrey;per:siblings;Arya
Arya;per:siblings;Sansa
Joffrey;per:siblings;Joffrey
Rickon;per:siblings;Sansa
Robb;per:siblings;Arya
Myrcella;per:siblings;Sansa
Tommen;per:siblings;Prince Joffrey
Sansa;per:siblings;Myrcella
Prince Joffrey;per:siblings;Rickon
Tommen;per:siblings;Robb
Arya;per:siblings;Robb
Tommen;per:siblings;Sansa
Rickon;per:siblings;Robb
Prince Joffrey;per:siblings;Joffrey
Robb;per:siblings;Myrcella
Robb;per:siblings;Rickon
Joffrey;per:siblings;Robb
Rickon;per:siblings;Prince Joffrey
Robb;per:siblings;Robb
Robb;per:siblings;Prince Joffrey
Prince Joffrey;per:siblings;Tommen
Myrcella;per:siblings;Arya
Sansa;per:siblings;Robb
Joffrey;per:siblings;Sansa
Myrcella;per:siblings;Myrcella
Arya;per:siblings;Prince Joffrey
Robb;per:siblings;Tommen
Sansa;per:siblings;Tommen
Rickon;per:siblings;Joffrey
Prince Joffrey;per:siblings;Robb
Tommen;per:siblings;Myrcella
Sansa;per:siblings;Rickon
Prince Joffrey;per:siblings;Myrcella
Arya;per:siblings;Myrcella
Rickon;per:siblings;Tommen
Sansa;per:siblings;Joffrey
Prince Joffrey;per:siblings;Sansa
Myrcella;per:siblings;Prince Joffrey
Joffrey;per:siblings;Prince Joffrey
Tommen;per:siblings;Joffrey
Rickon;per:siblings;Rickon
Robb;per:siblings;Sansa
Balerion;per:siblings;Viserys
Viserys;per:siblings;Balerion
Whitebeard;per:parents;his
his;per:children;his
his;per:children;Joffrey
Joffrey;per:parents;his
her;per:siblings;her
her;per:siblings;Meera
his;per:siblings;his
Cersei;per:siblings;Jaime
Jaime;per:siblings;Cersei
Tywin;per:spouse;Jaime
Maester Turquin;per:children;Maester Erreck
Ser Boros;per:siblings;Ser Mandon Moore
Janos Slynt;per:children;Janos Slynt
Janos Slynt;per:parents;Janos Slynt
Jaime;per:parents;Aemon Aemon Targaryen
Ser Loras;per:siblings;Jaime
Aemon Aemon Targaryen;per:parents;Aemon Aemon Targaryen
Ser Loras;per:parents;Aemon Aemon Targaryen
Aemon Aemon Targaryen;per:children;Jaime
Aemon Aemon Targaryen;per:parents;Jaime
Aemon Aemon Targaryen;per:parents;Ser Loras
Lady Tanda;per:parents;Lady Tanda
her;per:siblings;Martyn Rivers
Martyn Rivers;per:siblings;Catelyn
Martyn Rivers;per:siblings;Ser Perwyn Frey
Ser Perwyn Frey;per:siblings;her
Catelyn;per:siblings;Martyn Rivers
Martyn Rivers;per:siblings;her
Ser Perwyn Frey;per:siblings;Martyn Rivers
her;per:siblings;her
Jon Umber;per:children;Jason Mallister
Tytos Blackwood;per:parents;Catelyn
Jason Mallister;per:children;his
Tytos Blackwood;per:parents;Jason Mallister
Catelyn;per:children;Tytos Blackwood
Jon Umber;per:parents;Catelyn
his;per:children;Tytos Blackwood
his;per:children;his
Catelyn;per:children;Jon Umber
his;per:parents;Catelyn
Catelyn;per:children;his
Jason Mallister;per:parents;Catelyn
Catelyn;per:children;Jason Mallister
Jon Umber;per:children;his
his;per:children;Jason Mallister
Jon Umber;per:children;Tytos Blackwood
Tytos Blackwood;per:parents;Jon Umber
Jason Mallister;per:children;Tytos Blackwood
Tytos Blackwood;per:parents;his
Rolph Spicer;per:siblings;Lady Sybell
Lady Sybell;per:siblings;Rolph Spicer
Ser Rolph Spicer;per:siblings;Lady Sybell
Lady Sybell;per:siblings;Lady Sybell
Lady Sybell;per:siblings;Ser Rolph Spicer
her;per:siblings;his
his;per:siblings;her
his;per:siblings;his
Jon Arryn;per:children;Jon Arryn
Loras Tyrell;per:siblings;Margaery
Margaery;per:siblings;Loras Tyrell
Walder Frey;per:parents;Walder Frey
Walder Frey;per:parents;Theon Greyjoy
Theon Greyjoy;per:parents;Walder Frey
Walder Frey;per:parents;Catelyn
Edmure;per:siblings;her
her;per:siblings;Edmure
Mag Mar Tun Doh Weg;per:parents;Mag Mar Tun Doh Weg
Mag Mar Tun Doh Weg;per:children;Mag Mar Tun Doh Weg
Mag Mar Tun Doh Weg;per:children;Mag Mar Tun Doh Weg
Jon;per:siblings;Arya
Arya;per:siblings;Jon
Tormund;per:children;Dormund
Dormund;per:children;Dormund
Dormund;per:children;Munda
Toregg;per:children;Toregg
Munda;per:parents;Jon
Tormund;per:children;Toregg
Toregg;per:children;Munda
Dormund;per:children;Toregg
Jon;per:children;Toregg
Tormund;per:children;Tormund
Jon;per:children;Munda
Toregg;per:children;Tormund
Jon;per:children;Dormund
Tormund;per:children;Jon
Munda;per:children;Toregg
Toregg;per:children;Dormund
Munda;per:children;Dormund
Toregg;per:children;Jon
Tormund;per:children;Munda
Elinor;per:parents;Ambrosed
Joffrey;per:parents;Ambrosed
Sansa;per:spouse;Willas Tyrell
Willas Tyrell;per:spouse;Joffrey Baratheon
Joffrey Baratheon;per:spouse;Willas Tyrell
Arya;per:parents;Hullen
Hullen;per:children;his
his;per:parents;Hullen
Arya;per:parents;Hullen
Hullen;per:parents;Hullen
Harwin;per:parents;Hullen
Hullen;per:children;his
Winterfell;per:parents;Hullen
his;per:parents;Hullen
Arya;per:parents;Hullen
Harwin;per:parents;Hullen
Hullen;per:children;his
his;per:parents;Hullen
Tywin;per:parents;Hullen
Hullen;per:children;his
his;per:parents;Hullen
Hullen;per:children;his
his;per:parents;Hullen
Arya;per:children;Hullen
Hullen;per:children;Arya
Dickon;per:siblings;Samwell Tarly
Samwell Tarly;per:siblings;Dickon
Samwell Tarly;per:siblings;Samwell Tarly
Jon;per:spouse;Jon
Samwell Tarly;per:spouse;Jon
Alliser Thorne;per:siblings;Dickon
Catelyn Stark;per:parents;Hoster Tully
Hoster Tully;per:children;Catelyn Stark
Lysa Arryn;per:spouse;Hoster Tully
Doran;per:siblings;Elia
Robert;per:siblings;Elia
Elia;per:siblings;Doran
Ser Garlan;per:parents;Mace Tyrell
Willas;per:parents;Mace
his;per:children;his
Tyrion;per:children;his
his;per:children;Tyrion
him;per:spouse;she
Joffrey;per:spouse;him
she;per:spouse;him
Joffrey;per:spouse;she
Shae;per:spouse;Shae
Sansa;per:spouse;Shae
Shae;per:siblings;Robert
Jeyne Westerling;per:parents;Jeyne Westerling
Catelyn;per:siblings;Edmure
Catelyn;per:siblings;She
Edmure;per:siblings;Her
Edmure;per:siblings;Edmure
Her;per:siblings;Edmure
Her;per:siblings;Catelyn
She;per:siblings;Edmure
Edmure;per:siblings;She
Her;per:siblings;Her
Her;per:siblings;She
She;per:siblings;Catelyn
She;per:siblings;Her
Catelyn;per:siblings;Her
Edmure;per:siblings;Catelyn
Her;per:siblings;Her
Edmure;per:siblings;Her
Edmure;per:siblings;Edmure
Her;per:siblings;Edmure
Her;per:siblings;She
She;per:siblings;Edmure
She;per:siblings;Her
Edmure;per:siblings;She
Edmure;per:siblings;Her
Her;per:siblings;Edmure
Edmure;per:siblings;her
her;per:siblings;Edmure
Joffrey;per:spouse;Myrcella
Lychester;per:children;Aemon Targaryen
Aemon Targaryen;per:parents;Lychester
Aemon Targaryen;per:parents;Aemon Targaryen
Lychester;per:parents;Aemon Targaryen
Gregor Clegane;per:siblings;Piper
Gregor Clegane;per:siblings;Gregor Clegane
Tom of Sevenstreams;per:parents;Erreg
Erreg;per:parents;Erreg
Arya;per:siblings;Robb
Gendry;per:siblings;Robb
Robb;per:siblings;Arya
Arya;per:siblings;Robb
Arya;per:siblings;Arya
Robb;per:siblings;Robb
Arya;per:siblings;Robb
Robb;per:siblings;Arya
Arya;per:siblings;Robb
Arya;per:siblings;Arya
Robb;per:siblings;Robb
His;per:parents;Nan
Nan;per:parents;His
His;per:parents;His
Merrett;per:parents;Walder Frey
Merrett;per:children;Walder Frey
Walder Frey;per:parents;Merrett
Walder Frey;per:children;Merrett
Merrett;per:parents;Walder Frey
Merrett;per:children;Walder Frey
Walder Frey;per:parents;Merrett
Walder Frey;per:children;Merrett
Merrett;per:parents;Merrett
Merrett;per:parents;Walder Frey
Walder Frey;per:parents;Walder Frey
Merrett;per:children;Walder Frey
Walder Frey;per:parents;Merrett
Merrett;per:children;Merrett
Walder Frey;per:children;Merrett
Merrett;per:parents;Merrett
Aemon Targaryen;per:children;Aemon Targaryen
Aemon Targaryen;per:parents;Aemon Targaryen
Devan;per:parents;him
him;per:children;Devan
Tommen;per:siblings;Joffrey
Jon;per:siblings;Arya
Jon;per:spouse;Magnar Magnar
Ygritte;per:siblings;Gendel
Gendel;per:siblings;Ygritte
Gendel;per:siblings;his
his;per:siblings;Gendel
Gendel;per:siblings;his
his;per:siblings;Gendel
Gendel;per:siblings;Gendel
Gorne;per:children;Gorne
Gorne;per:children;his
Gorne;per:parents;Gorne
Gendel;per:parents;Gendel
Gendel;per:parents;Gendel
Jon;per:spouse;Jon Wall
Viserys;per:siblings;Viserys
her;per:children;her
Lady Tanda;per:children;her
Lady Tanda;per:children;Lady Tanda
she;per:children;she
her;per:children;she
she;per:parents;Lady Tanda
Lady Tanda;per:children;she
her;per:parents;Lady Tanda
she;per:children;her
her;per:children;Lady Tanda
she;per:children;Lady Tanda
Lady Tanda;per:parents;Lady Tanda
Willas;per:siblings;Sansa
her;per:spouse;her
her;per:spouse;her
her;per:spouse;Sansa
Sansa;per:spouse;Septa Mordane
Sansa;per:spouse;Sansa
Sansa;per:spouse;her
Septa Mordane;per:spouse;Sansa
Septa Mordane;per:spouse;her
her;per:spouse;Septa Mordane
her;per:siblings;her
Ser Cleos;per:siblings;Jaime
his;per:spouse;Tyrion
his;per:spouse;Winterfell
his;per:spouse;his
Winterfell;per:spouse;his
his;per:spouse;his
his;per:spouse;Shae
Tyrion;per:siblings;Janos Slynt
Janos Slynt;per:siblings;Tyrion
Gilly;per:parents;Gilly
Gilly;per:children;Gilly
Samwell Tarly;per:parents;Gilly
his;per:children;Samwell Tarly Samwell Tarly
Samwell Tarly Samwell Tarly;per:parents;his
Clubfoot Karlon Stark;per:children;Dirk
Dirk;per:children;Clubfoot Karlon Stark
Craster;per:spouse;Craster
Craster;per:spouse;Craster
Craster;per:spouse;Samwell Tarly
Samwell Tarly;per:spouse;Craster
Alyn of Winterfell;per:siblings;Anvil Ryn
Joth Quick - bow;per:siblings;Randa
Matt;per:siblings;Randa
Alyn of Winterfell;per:siblings;Randa
Randa;per:siblings;Matt
Edmure - Lord Edmure;per:siblings;her
her;per:siblings;Edmure - Lord Edmure
Edmure - Lord Edmure;per:siblings;her
her;per:siblings;Edmure - Lord Edmure
her;per:siblings;her
her;per:siblings;Catelyn
her;per:siblings;her
Catelyn;per:siblings;her
her;per:siblings;her
her;per:siblings;her
her;per:siblings;her
her;per:siblings;her
her;per:siblings;Catelyn
her;per:siblings;her
Catelyn;per:siblings;her
Catelyn;per:siblings;Catelyn
Catelyn;per:siblings;Catelyn
her;per:spouse;his
his;per:spouse;her
Lothar;per:siblings;Walder Rivers
Walder;per:siblings;Walder Rivers
Lothar;per:siblings;Walder
Walder Rivers;per:siblings;Walder Rivers
Walder Rivers;per:siblings;Lothar
Lothar;per:siblings;Lothar
Walder;per:siblings;Lothar
Walder Rivers;per:siblings;Walder
Walder Rivers;per:siblings;Lothar
Jammos;per:parents;Walder Frey
Walder Frey;per:parents;Jammos
Beth;per:parents;Ser Rodrik
Beth;per:parents;Ser Rodrik
Edmure;per:siblings;Her
Her;per:siblings;Edmure
Roslin;per:parents;Roslin
Roslin;per:children;Lady Bethany
Roslin;per:parents;Lady Bethany
Lady Bethany;per:children;Roslin
Her;per:siblings;Her
Edmure;per:siblings;Her
Her;per:siblings;Edmure
Edmure;per:siblings;Edmure
Her;per:siblings;Her
Edmure;per:siblings;Her
Her;per:siblings;Edmure
Edmure;per:siblings;Edmure
Edmure;per:siblings;Her
Her;per:siblings;Edmure
Edmure;per:siblings;Her
Her;per:siblings;Edmure
Lothar Frey;per:siblings;Edmure
Edmure;per:siblings;Her
Her;per:siblings;Edmure
Davos;per:siblings;Alester
Alester;per:siblings;Davos
Alester;per:siblings;Alester
Estermont;per:parents;Estermont
Estermont;per:parents;Joffrey
Estermont;per:children;Estermont
Melisandre;per:siblings;Renly
Ser Cortnay Penrose;per:siblings;Renly
Jonothor Darry;per:parents;Barristan Selmy
Jonothor Darry;per:parents;Prince Rhaegar
Prince Rhaegar;per:parents;Prince Rhaegar
Prince Rhaegar;per:parents;Barristan Selmy
his;per:parents;Aerys
Walda Frey;per:parents;Walton
Walton;per:children;Walda Frey
Walda Frey;per:parents;Merrett
Merrett;per:children;Walda Frey
Walda Frey;per:parents;Merrett
Merrett;per:parents;Walda Frey
Edmure Edmure Tully;per:spouse;Roslin Frey
Roslin Frey;per:spouse;Edmure Edmure Tully
Frey;per:children;Her
Robb Stark;per:parents;Frey
Her;per:parents;Frey
Her;per:children;Her
Ser Ulwyck;per:siblings;his
his;per:siblings;Ser Ulwyck
Harmen Uller;per:siblings;Ser Ulwyck
Ser Ulwyck;per:siblings;Harmen Uller
his;per:siblings;Ser Myles
Ser Myles;per:siblings;his
his;per:siblings;Dagos Manwoody
Dagos Manwoody;per:children;Dickon
her;per:children;Jynessa
Perros;per:parents;her
her;per:parents;Larra Blackmont
her;per:children;Perros
Perros;per:children;Jynessa
her;per:children;Larra Blackmont
Larra Blackmont;per:children;Jynessa
Perros;per:parents;Larra Blackmont
Jynessa;per:children;Perros
Jynessa;per:parents;her
Larra Blackmont;per:children;Perros
Tywin;per:spouse;Tyrion
his;per:siblings;Jaime
Tyrion;per:siblings;his
his;per:siblings;Grace
his;per:siblings;Tyrion
his;per:siblings;his
Grace;per:siblings;his
Grace;per:siblings;Tyrion
Tyrion;per:siblings;Grace
his;per:siblings;she
Jaime;per:siblings;Jaime
Cersei;per:siblings;Jaime
Jaime;per:siblings;Cersei
Jaime;per:siblings;Jaime
Jon Arryn;per:siblings;Jaime
Robert;per:siblings;Jaime
Ser Loras;per:siblings;Jaime
Amory Lorch;per:spouse;his
his;per:spouse;Amory Lorch
Amory Lorch;per:spouse;Amory Lorch
his;per:spouse;his
Syrio Forel;per:spouse;Yoren
Yoren;per:spouse;Syrio Forel
Lommy;per:spouse;Yoren
Sandor Clegane;per:siblings;Gregor Clegane
Gregor Clegane;per:siblings;Sandor Clegane
Arya;per:siblings;his
his;per:siblings;Arya
Eddard;per:siblings;Benjen
Benjen;per:siblings;Eddard
Jon;per:spouse;Ygritte
Jon;per:spouse;Jon
Jon;per:parents;her
Jon;per:parents;Jon
Ygritte;per:spouse;Jon
Alysanne;per:spouse;Jaehaerys I Targaryen
Jaehaerys I Targaryen;per:spouse;Alysanne
Alysanne;per:spouse;Alysanne
Jaehaerys I Targaryen;per:spouse;Jaehaerys I Targaryen
Alysanne;per:spouse;Jaehaerys I Targaryen
Jaehaerys I Targaryen;per:spouse;Alysanne
Alysanne;per:spouse;Jaehaerys I Targaryen
Jaehaerys I Targaryen;per:spouse;Alysanne
Alysanne;per:spouse;Alysanne
Jaehaerys I Targaryen;per:spouse;Jaehaerys I Targaryen
Alysanne;per:spouse;Jaehaerys I Targaryen
Jaehaerys I Targaryen;per:spouse;Alysanne
Jaehaerys I Targaryen Warden of the North;per:spouse;Alysanne
Jaehaerys I Targaryen Warden of the North;per:spouse;Jaehaerys I Targaryen
Jon;per:parents;Jon Snow
Ygritte;per:spouse;Jon Snow
Jon Snow;per:children;Jon
his;per:children;Jon
his;per:parents;Jon
Jon;per:spouse;Jon
his;per:parents;Ygritte
Jon;per:parents;Jon
Jon Snow;per:parents;Jon
Jon;per:parents;Ygritte
Ygritte;per:children;Jon
Jon;per:parents;his
his;per:parents;Jon Snow
Jon Snow;per:spouse;Ygritte
Gregor Clegane;per:siblings;Gregor Clegane
his;per:siblings;Gregor Clegane
Gregor Clegane;per:siblings;his
Jon Jon;per:spouse;Jon
Jon;per:spouse;Jon Jon
Jon;per:spouse;Jon
Jon Snow;per:parents;Jon Snow
Jon Snow;per:parents;Jon Snow
Goodbrook;per:children;Hoster
Aerys;per:parents;Tywin
Tywin;per:siblings;Stafford
his;per:siblings;Tywin
Jaime;per:siblings;his
Jaime;per:siblings;Tywin
Tywin;per:siblings;Jaime
Jaime;per:siblings;Jaime
his;per:siblings;his
Tywin;per:siblings;his
his;per:siblings;Jaime
Joffrey;per:children;Joffrey
her;per:children;Ser Raynald
Jeyne;per:children;Ser Raynald
her;per:children;Jeyne
Martyn;per:children;Robett
Galbart Glover;per:children;Robett
her;per:children;Robett
Eleyna;per:siblings;Lady Westerling
Lady Westerling;per:siblings;Eleyna
Edmure;per:siblings;her
her;per:siblings;Edmure
Catelyn;per:children;Lady Maege
Dacey;per:parents;Dacey
Dacey;per:children;Lady Maege
Catelyn;per:children;Dacey
Dacey;per:children;Jaime Lannister
her;per:children;Jaime Lannister
her;per:children;Dacey
Dacey;per:children;Dacey
Dacey;per:parents;Catelyn
Lady Maege;per:children;Dacey
Lady Maege;per:children;Jaime Lannister
Catelyn;per:children;Jaime Lannister
Dacey;per:parents;her
Dacey;per:parents;Lady Maege
Jaime Lannister;per:children;Dacey
Dacey;per:parents;her
Dacey;per:parents;Lady Maege
Bran Stark;per:siblings;his
his;per:siblings;Bran Stark
Bran Stark;per:siblings;his
his;per:siblings;Bran Stark
Baelor Targaryen;per:parents;Daeron II
Daeron II;per:parents;Baelor Targaryen
her;per:children;her
her;per:parents;Raymar Royce
Raymar Royce;per:siblings;Raymar Royce
Maege Mormont;per:parents;Maege Mormont
Greatjon;per:children;Galbart Glover
Greatjon;per:children;her
Edmure;per:parents;Greatjon
Greatjon;per:children;Catelyn
Maege Mormont;per:parents;Greatjon
Galbart Glover;per:parents;Greatjon
Greatjon;per:children;Maege Mormont
Greatjon;per:children;Edmure
Balon;per:siblings;Victarion
Victarion;per:siblings;Balon
Rickon;per:siblings;her
her;per:siblings;Rickon
Craster;per:spouse;Craster
his;per:spouse;Gilly
Samwell Tarly;per:spouse;Gilly
Paul;per:spouse;Paul
Samwell Tarly;per:parents;Paul
Paul;per:parents;Paul
Jon;per:parents;Lady Catelyn
Jon;per:spouse;Jon
Jon;per:spouse;Jon
Jon;per:spouse;Jeor Mormont
Jeor Mormont;per:spouse;Jon
Bolton;per:children;Theon Greyjoy
Bolton;per:children;Bolton
Jon;per:siblings;Jon
Walder;per:parents;his
Walder;per:children;his
Walder;per:parents;Walder
Ser Stevron;per:children;Ser Ryman
Walder;per:spouse;Walder
Ser Ryman;per:parents;Walder Frey
Walder Frey;per:parents;Ser Ryman
Walder Frey;per:parents;Walder Frey
Walder Frey;per:children;Walder Frey
Walder Frey;per:parents;Lady Catelyn
Walder Frey;per:children;Lady Catelyn
Stevron;per:parents;Aegon Frey
Stevron;per:children;Aegon Frey
Aegon Frey;per:parents;Stevron
Stevron;per:parents;Aegon Frey
Stevron;per:children;Aegon Frey
Aegon Frey;per:parents;Stevron
Lady Frey;per:parents;Stevron
Stevron;per:parents;Aegon Frey
Lady Frey;per:children;Stevron
Aegon Frey;per:parents;Stevron
Aegon Frey;per:children;Arwyn
Aegon Frey;per:children;Stevron
Stevron;per:children;Aegon Frey
Arwyn;per:children;Stevron
Stevron;per:children;Arwyn
Arwyn;per:parents;Aegon Frey
Aegon Frey;per:children;Arwyn
Aegon Frey;per:parents;Stevron
Stevron;per:parents;Aegon Frey
Aegon Frey;per:parents;Stevron
Stevron;per:parents;Aegon Frey
Aegon Frey;per:parents;Stevron
Catelyn;per:parents;Frey
Catelyn;per:children;Roslin
Frey;per:children;Roslin
Roslin;per:children;Frey
Benfrey;per:siblings;Benfrey
Aegon Frey;per:parents;Stevron
Aegon Frey;per:parents;Stevron
Aegon Frey;per:parents;Stevron
Aegon Frey;per:children;Stevron
Stevron;per:children;Aegon Frey
Aegon Frey;per:parents;Edmure
Lucias Vypren;per:siblings;Lythene
Ser Harys;per:parents;Ser Leslyn Haigh
Ser Leslyn Haigh;per:children;Ser Harys
Stevron;per:parents;Aegon Frey
Aegon Frey;per:parents;Stevron
Jon Umber;per:spouse;Ser Wendel Manderly
Robb;per:spouse;Robin Flint
Jon Umber;per:spouse;Robin Flint
Jon Umber;per:parents;Robb
Arya;per:parents;Arya
Frey;per:parents;Walton
Walton;per:parents;Alyx Frey
Alyx Frey;per:parents;Walton
Walda Frey;per:parents;Walton
Walton;per:parents;Robb
Robb;per:parents;Walton
Walton;per:children;Walda Frey
Serra;per:spouse;Robb
Walda Frey;per:parents;Merrett
Ami;per:parents;Merrett
Walda Frey;per:spouse;Roose Bolton
Roose Bolton;per:spouse;Walda Frey
Merrett;per:spouse;Robb
Walder;per:spouse;Robb
Roose Bolton;per:parents;Merrett
Merrett;per:parents;Walder
Merrett;per:children;Merrett
Lady Frey;per:children;Merrett
Walder;per:children;Merrett
Walton;per:children;Alyx
Jon Umber;per:parents;Walton
Walton;per:parents;Robin Flint
Walton;per:parents;Jon Umber
Walton;per:parents;Walda Frey
Robin Flint;per:parents;Walton
Walda Frey;per:parents;Walton
Walton;per:parents;Merrett
Jon Umber;per:parents;Merrett
Walton;per:children;Ser Wendel
Merrett;per:parents;Walton
Ser Wendel;per:parents;Walton
